term,furigana,definition,notes,warnings,example1,example2
変化,へんか,性質や状態が変わること。,,,カメレオンの色が変化する。,変化球を投げる。
編集,へんしゅう,資料・原こうなどを集めて本などにまとめること。,,,,
弁当,べんとう,入れ物に入れて持ち歩く食事。,,,,
便利,べんり,都合がよいこと。役に立つこと。,,,,
包囲,ほうい,周りを取り囲むこと。,,,,
貿易,ぼうえき,外国と品物の売り買いをすること。,,,,
防災,ぼうさい,台風や火事などの災害を防ぐこと。,,,,
豊作,ほうさく,作物がよく実って、たくさんとれること。,,,,
方針,ほうしん,めざす方向ややり方。,,,,
包帯,ほうたい,傷口などを守るために巻く細長い布。,,,,
報道,ほうどう,世の中の出来事を、新聞・テレビなどを通じて人々に知らせること。,,,,
方法,ほうほう,物事を行うときのやり方。,,,,
訪問,ほうもん,よその家などをたずねること。,,,,
豊漁,ほうりょう,魚がたくさんとれること。,,,,
牧場,ぼくじょう,牛や馬などの家ちくを放して育てる場所。,,,,
保険,ほけん,事故などのときのために、お金を積み立てておくしくみ。,,,,
保健,ほけん,体が健康であるようにすること。,,,,
墓前,ぼぜん,墓の前。,,,,
保存,ほぞん,そのままの形でとっておくこと。,,,,
墓地,ぼち,墓がある所。,,,,
北極,ほっきょく,地球の北のはし。また、そのあたりの地方。,,,,
本能,ほんのう,動物が、学習や経験によらず、本来もっている能力。,,,,
迷子,まいご,道に迷ったり、はぐれたりすること。また、はぐれた子ども。,,,,
街角,まちかど,街の通りの曲がり角。,,,,
満員,まんいん,定員に達すること。また、人がいっぱい入っていること。,,,,
満潮,まんちょう,潮が満ちて、海水面が最も高くなること。,,,,
未開,みかい,開発されていないこと。,,,未開の地。,未開拓の街でおいしい料理屋を探す。
未熟,みじゅく,学問や技術などが、十分でないこと。,,,子どもの未熟な考え。,未熟な弟。
未定,みてい,まだ決まっていないこと。,,,明日の予定は未定だ。,
未来,みらい,これから先のこと。現在より先の時。,,,,
無罪,むざい,罪がないと認められること。,,,無罪が確定する。,友人の無罪を信じる。
無理,むり,できそうもないこと。,,,重い荷物を一人で運ぶのは無理だ。,無理は続かない。
